
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"
"Redbridge 007G","E01003674",2.3,5.2
"Redbridge 008A","E01003707",4.6,6.7
"Redbridge 008B","E01003708",6.7,6.0
"Redbridge 008C","E01003709",5.2,6.4
"Redbridge 008D","E01003710",5.0,6.3
"Redbridge 009A","E01003759",4.2,4.2
"Redbridge 009B","E01003760",5.2,5.8
"Redbridge 009C","E01003761",7.5,6.9
"Redbridge 009D","E01003762",4.2,4.9
"Redbridge 009E","E01003763",3.8,5.5
"Redbridge 009F","E01003764",3.1,3.8
"Redbridge 009G","E01003765",3.6,5.1
"Redbridge 010A","E01003705",4.6,5.9
"Redbridge 010B","E01003706",5.5,5.1
"Redbridge 010C","E01003711",5.5,6.1
"Redbridge 010D","E01003712",4.9,6.5
"Redbridge 012A","E01003646",5.0,6.7
"Redbridge 012B","E01003648",4.3,5.8
"Redbridge 012C","E01003649",5.3,7.3
"Redbridge 012D","E01003651",4.3,6.5
"Redbridge 013A","E01003639",4.8,4.7
"Redbridge 013B","E01003640",5.5,5.6
"Redbridge 013C","E01003641",4.0,8.0
"Redbridge 013D","E01003642",5.5,8.1
"Redbridge 014A","E01003774",2.1,4.1
"Redbridge 014B","E01003775",4.2,5.2
"Redbridge 014C","E01003776",2.3,4.3
"Redbridge 014D","E01003777",2.4,3.6
"Redbridge 014E","E01003778",1.8,3.6
"Redbridge 014F","E01003779",3.3,2.6
"Redbridge 014G","E01003780",4.2,5.0
"Redbridge 015A","E01003647",3.8,6.0
"Redbridge 015B","E01003650",4.2,7.8
"Redbridge 015C","E01003652",5.9,6.7
"Redbridge 015D","E01003653",3.7,5.4
"Redbridge 017A","E01003638",3.7,4.8
"Redbridge 017B","E01003643",4.3,6.4
"Redbridge 017C","E01003644",5.7,6.2
"Redbridge 017D","E01003645",4.1,5.0
"Redbridge 018A","E01003789",2.7,4.1
"Redbridge 018B","E01003794",3.6,4.3
"Redbridge 018C","E01003795",4.9,2.6
"Redbridge 018D","E01003796",3.6,5.6
"Redbridge 020A","E01003751",6.0,8.8
"Redbridge 020B","E01003753",5.4,6.8
"Redbridge 020C","E01003754",4.4,6.9
"Redbridge 020D","E01003757",6.1,7.2
"Redbridge 022A","E01003769",6.2,6.5
"Redbridge 022B","E01003770",7.0,5.7
"Redbridge 022C","E01003771",4.5,6.7
"Redbridge 022D","E01003773",5.6,5.3
"Redbridge 023A","E01003752",5.8,7.6
"Redbridge 023B","E01003755",7.1,8.3
"Redbridge 023C","E01003756",5.7,8.1
"Redbridge 023E","E01034480",7.8,5.9
"Redbridge 023F","E01034481",8.2,8.3
"Redbridge 024A","E01003766",4.7,6.6
"Redbridge 024B","E01003767",5.9,6.8
"Redbridge 024C","E01003768",4.2,6.5
"Redbridge 024D","E01003772",5.3,6.4
"Redbridge 026A","E01003781",5.8,6.8
"Redbridge 026B","E01003782",3.7,6.1
"Redbridge 026C","E01003786",5.9,5.9
"Redbridge 026D","E01003787",4.5,5.3
"Redbridge 027A","E01003790",5.2,5.0
"Redbridge 027B","E01003791",2.8,3.3
"Redbridge 027C","E01003792",4.5,4.6
"Redbridge 027D","E01003793",3.2,4.8
"Redbridge 029A","E01003783",4.4,6.2
"Redbridge 029B","E01003784",5.2,7.6
"Redbridge 029C","E01003785",3.8,6.5
"Redbridge 029D","E01003788",4.1,6.0
"Redbridge 031A","E01003737",9.1,4.4
"Redbridge 031B","E01003738",6.0,7.7
"Redbridge 031C","E01003739",6.6,6.6
"Redbridge 031D","E01003740",5.4,6.8
"Redbridge 031E","E01003741",5.3,7.5
"Redbridge 031F","E01003742",8.1,8.7
"Redbridge 031G","E01003743",5.9,7.8
"Redbridge 032B","E01003729",6.4,6.8
"Redbridge 032C","E01003730",5.7,9.0
"Redbridge 032D","E01003732",4.3,6.4
"Redbridge 032E","E01003733",6.3,7.6
"Redbridge 032F","E01034482",2.1,4.3
"Redbridge 032G","E01034483",5.1,5.4
"Redbridge 032H","E01034484",7.7,6.9
"Redbridge 033A","E01003731",6.9,7.9
"Redbridge 033B","E01003734",6.2,7.7
"Redbridge 033C","E01003735",6.3,8.5
"Redbridge 033D","E01003736",6.7,7.9
"Redbridge 034A","E01003713",6.8,6.5
"Redbridge 034B","E01003714",5.3,8.5
"Redbridge 034C","E01003715",5.0,7.3
"Redbridge 034D","E01003716",4.7,6.9
"Redbridge 034E","E01003718",3.7,6.1
"Redbridge 034F","E01003719",4.9,6.6
"Redbridge 034G","E01032581",5.5,6.2
"Redbridge 035A","E01003690",3.7,5.7
"Redbridge 035B","E01003691",6.3,7.7
"Redbridge 035C","E01003692",5.1,6.2
"Redbridge 035D","E01003693",5.9,5.7
"Redbridge 035E","E01003694",5.5,6.7
"Redbridge 035F","E01003695",3.7,4.4
"Redbridge 035G","E01003696",5.8,7.9
"Redbridge 035H","E01003697",7.3,6.0
"Redbridge 036A","E01003675",5.4,7.3
"Redbridge 036B","E01003676",5.8,8.7
"Redbridge 036C","E01003677",5.6,9.2
"Redbridge 036D","E01003678",7.1,7.1
"Redbridge 036E","E01003679",6.0,6.8
"Redbridge 036F","E01003680",6.0,7.5
"Redbridge 036G","E01003681",7.8,5.5
"Redbridge 036H","E01003682",6.5,6.8
"Redbridge 037A","E01003663",5.9,6.3
"Redbridge 037B","E01003664",6.3,7.9
"Redbridge 037E","E01003665",5.2,5.8
"Redbridge 037C","E01033590",4.8,5.3
"Redbridge 037D","E01033592",6.4,6.5
"Redbridge 038A","E01003661",6.1,6.3
"Redbridge 038C","E01003662",4.2,5.8
"Redbridge 038B","E01003666",4.7,6.6
"Redbridge 039C","E01003689",4.6,6.1
"Redbridge 039B","E01033589",3.9,4.3
"Redbridge 039A","E01033591",4.5,7.4
"Redbridge 040C","E01003683",5.5,7.7
"Redbridge 040E","E01003684",6.5,6.9
"Redbridge 040D","E01003685",5.1,7.4
"Redbridge 040A","E01003686",5.0,7.4
"Redbridge 040B","E01003688",4.5,6.7
"Richmond upon Thames 001A","E01003797",6.1,3.9
"Richmond upon Thames 001B","E01003798",3.8,2.5
"Richmond upon Thames 001C","E01003799",3.2,3.2
"Richmond upon Thames 001D","E01003800",5.9,6.1
"Richmond upon Thames 001E","E01003801",6.6,4.9
"Richmond upon Thames 001F","E01003802",3.5,4.4
"Richmond upon Thames 001G","E01003803",4.3,4.8
"Richmond upon Thames 002A","E01003846",4.4,4.5
"Richmond upon Thames 002B","E01003847",2.6,3.3
"Richmond upon Thames 002C","E01003849",2.9,4.1
"Richmond upon Thames 002D","E01003851",4.2,3.4
"Richmond upon Thames 002E","E01003860",2.5,3.2
"Richmond upon Thames 002F","E01003864",3.0,3.0
"Richmond upon Thames 003A","E01003852",2.7,3.2
"Richmond upon Thames 003B","E01003853",4.1,3.6
"Richmond upon Thames 003C","E01003854",3.7,3.2
"Richmond upon Thames 003D","E01003855",3.1,4.4
"Richmond upon Thames 003E","E01003856",2.2,2.5
"Richmond upon Thames 003F","E01003857",2.2,2.7
"Richmond upon Thames 003G","E01003858",2.6,2.9
"Richmond upon Thames 004A","E01003848",3.1,3.6
"Richmond upon Thames 004C","E01003861",2.0,3.9
"Richmond upon Thames 004D","E01003862",3.7,3.5
"Richmond upon Thames 004E","E01003863",3.0,3.2
"Richmond upon Thames 004F","E01003865",3.5,4.2
"Richmond upon Thames 004G","E01033570",3.4,3.2
"Richmond upon Thames 004H","E01033571",4.3,5.2
"Richmond upon Thames 005A","E01003804",2.9,3.7
"Richmond upon Thames 005B","E01003807",3.2,4.5
"Richmond upon Thames 005C","E01003808",2.8,3.1
"Richmond upon Thames 005D","E01003809",4.1,3.2
"Richmond upon Thames 005E","E01003859",4.5,3.3
"Richmond upon Thames 006A","E01003873",2.4,3.1
"Richmond upon Thames 006B","E01003874",1.4,2.0
"Richmond upon Thames 006C","E01003875",4.8,3.5
"Richmond upon Thames 006D","E01003878",3.6,5.2
"Richmond upon Thames 007A","E01003866",3.9,2.8
"Richmond upon Thames 007B","E01003868",3.7,3.3
"Richmond upon Thames 007C","E01003871",4.9,3.6
"Richmond upon Thames 007D","E01003872",3.9,3.8
"Richmond upon Thames 008A","E01003821",2.5,2.5
"Richmond upon Thames 008B","E01003876",2.7,3.6
"Richmond upon Thames 008C","E01003877",2.5,2.1
"Richmond upon Thames 008D","E01003879",3.6,5.7
"Richmond upon Thames 009A","E01003892",3.3,2.5
"Richmond upon Thames 009B","E01003893",3.1,3.3
"Richmond upon Thames 009C","E01003894",4.8,3.8
"Richmond upon Thames 009D","E01003895",3.4,3.8
"Richmond upon Thames 010A","E01003905",4.2,4.6
"Richmond upon Thames 010B","E01003906",3.3,5.2
"Richmond upon Thames 010C","E01003907",4.6,6.0
"Richmond upon Thames 010D","E01003908",4.7,5.7
"Richmond upon Thames 010E","E01003909",3.7,5.9
"Richmond upon Thames 011A","E01003867",4.4,6.2
"Richmond upon Thames 011B","E01003869",3.4,3.8
"Richmond upon Thames 011C","E01003870",3.8,4.0
"Richmond upon Thames 011D","E01003910",3.9,2.5
"Richmond upon Thames 012A","E01003805",4.7,2.8
"Richmond upon Thames 012B","E01003806",5.3,4.3
"Richmond upon Thames 012C","E01003816",4.9,3.6
"Richmond upon Thames 012D","E01003817",3.3,3.5
"Richmond upon Thames 013A","E01003840",4.3,5.2
"Richmond upon Thames 013B","E01003841",5.5,6.0
"Richmond upon Thames 013C","E01003842",5.2,5.7
"Richmond upon Thames 013D","E01003843",5.1,6.0
"Richmond upon Thames 013E","E01003844",4.1,4.4
"Richmond upon Thames 013F","E01003845",4.5,5.1
"Richmond upon Thames 014A","E01003882",3.5,3.9
"Richmond upon Thames 014B","E01003883",2.4,2.0
"Richmond upon Thames 014C","E01003896",3.0,6.4
"Richmond upon Thames 014D","E01003897",3.5,6.0
"Richmond upon Thames 015A","E01003898",3.4,2.5
"Richmond upon Thames 015B","E01003899",4.7,2.5
"Richmond upon Thames 015C","E01003900",5.3,6.7
"Richmond upon Thames 015D","E01003901",5.4,5.4
"Richmond upon Thames 015E","E01003902",4.9,3.6
"Richmond upon Thames 015F","E01003903",5.6,5.0
"Richmond upon Thames 015G","E01003904",3.3,3.1
"Richmond upon Thames 016A","E01003880",4.9,4.3
"Richmond upon Thames 016B","E01003881",24.6,18.4
"Richmond upon Thames 016C","E01003884",4.2,5.5
"Richmond upon Thames 016D","E01003885",4.3,6.6
"Richmond upon Thames 017A","E01003818",4.1,2.9
"Richmond upon Thames 017B","E01003819",4.1,4.2
"Richmond upon Thames 017C","E01003820",5.7,3.7
"Richmond upon Thames 018A","E01003811",3.5,3.4
"Richmond upon Thames 018B","E01003812",4.0,5.9
"Richmond upon Thames 018C","E01003890",4.0,4.7
"Richmond upon Thames 018D","E01003891",3.2,3.0
"Richmond upon Thames 019A","E01003810",3.5,3.2
"Richmond upon Thames 019B","E01003813",4.2,3.6
"Richmond upon Thames 019C","E01003814",3.4,4.8
"Richmond upon Thames 019D","E01003815",2.4,4.5
"Richmond upon Thames 020A","E01003828",3.9,3.0
"Richmond upon Thames 020B","E01003829",3.7,5.3
"Richmond upon Thames 020C","E01003830",4.6,4.4
"Richmond upon Thames 020D","E01003831",3.6,3.8
"Richmond upon Thames 020E","E01003832",4.7,5.7
"Richmond upon Thames 020F","E01003833",4.2,3.3
"Richmond upon Thames 021A","E01003886",3.9,4.5
"Richmond upon Thames 021B","E01003887",3.6,5.4
"Richmond upon Thames 021C","E01003888",3.7,7.3
"Richmond upon Thames 021D","E01003889",2.6,3.7
"Richmond upon Thames 022A","E01003834",2.9,4.4
"Richmond upon Thames 022B","E01003835",5.6,4.2
"Richmond upon Thames 022C","E01003836",4.7,5.4
"Richmond upon Thames 022D","E01003837",4.6,3.4
"Richmond upon Thames 022E","E01003838",4.8,3.8
"Richmond upon Thames 022F","E01003839",3.7,3.3
"Richmond upon Thames 023A","E01003822",5.3,4.3
"Richmond upon Thames 023B","E01003823",3.3,3.6
"Richmond upon Thames 023C","E01003824",4.0,3.2
"Richmond upon Thames 023D","E01003825",3.3,3.5
"Richmond upon Thames 023E","E01003826",3.3,4.4
"Richmond upon Thames 023F","E01003827",2.7,4.2
"Southwark 001A","E01004029",2.8,6.6
"Southwark 001B","E01004032",1.2,6.7
"Southwark 001C","E01004053",1.2,6.8
"Southwark 001D","E01004054",1.6,7.4
"Southwark 001E","E01004055",3.5,7.0
"Southwark 002B","E01003929",2.6,11.0
"Southwark 002C","E01003934",3.5,10.4
"Southwark 002D","E01003935",25.0,9.7
"Southwark 002E","E01003939",2.9,22.0
"Southwark 002F","E01033867",10.7,19.2
"Southwark 002G","E01033868",17.5,20.5
"Southwark 004A","E01003975",4.6,11.0
"Southwark 004D","E01004023",3.6,5.5
"Southwark 004E","E01004028",4.7,7.7
"Southwark 004F","E01033869",3.5,6.3
"Southwark 004G","E01033870",2.5,7.9
"Southwark 004H","E01033871",3.9,6.1
"Southwark 004I","E01033872",3.5,6.5
"Southwark 006A","E01003938",6.3,13.6
"Southwark 006B","E01003940",4.5,11.3
"Southwark 006C","E01003941",2.5,9.0
"Southwark 006D","E01003942",5.8,15.2
"Southwark 006E","E01003979",2.3,9.0
"Southwark 006F","E01003981",8.7,15.4
"Southwark 007A","E01004030",2.9,5.3
"Southwark 007B","E01004031",3.0,13.1
"Southwark 007C","E01004033",3.7,7.7
"Southwark 007D","E01004034",4.7,10.2
"Southwark 007E","E01004036",4.9,7.7
"Southwark 008A","E01004056",2.2,6.9
"Southwark 008B","E01004057",2.8,7.9
"Southwark 008C","E01004058",1.0,6.6
"Southwark 008D","E01004059",1.2,8.5
"Southwark 008E","E01004060",3.6,9.6
"Southwark 009A","E01003936",19.4,13.2
"Southwark 009B","E01003937",2.9,16.9
"Southwark 009C","E01003943",4.9,12.0
"Southwark 009G","E01033873",8.8,14.5
"Southwark 009H","E01033874",2.6,30.3
"Southwark 010A","E01003977",3.8,8.3
"Southwark 010B","E01004037",4.0,8.2
"Southwark 010C","E01004038",4.5,9.0
"Southwark 010D","E01004042",4.2,11.5
"Southwark 010E","E01004043",3.2,8.9
"Southwark 011A","E01003986",3.8,6.7
"Southwark 011B","E01003987",5.1,7.1
"Southwark 011C","E01004024",4.7,9.7
"Southwark 011D","E01004035",2.9,7.3
"Southwark 012A","E01003960",3.0,15.9
"Southwark 012B","E01003961",4.8,9.1
"Southwark 012E","E01003994",3.1,8.0
"Southwark 012G","E01033875",2.9,7.7
"Southwark 012H","E01033876",2.5,16.2
"Southwark 012I","E01033877",3.4,8.2
"Southwark 013A","E01003980",3.4,15.2
"Southwark 013B","E01004039",4.4,12.1
"Southwark 013C","E01004040",5.8,7.4
"Southwark 013D","E01004041",3.9,8.5
"Southwark 013E","E01004044",4.8,8.5
"Southwark 014A","E01003992",5.5,8.5
"Southwark 014B","E01003995",2.5,5.9
"Southwark 014D","E01003998",2.1,8.8
"Southwark 014E","E01003999",6.9,10.9
"Southwark 014F","E01032639",9.1,16.0
"Southwark 014G","E01032719",2.8,12.7
"Southwark 015B","E01003966",4.5,8.2
"Southwark 015D","E01003971",7.4,7.1
"Southwark 015F","E01033878",6.5,9.0
"Southwark 015G","E01033879",5.6,8.1
"Southwark 015H","E01033880",4.5,5.7
"Southwark 016A","E01003963",5.1,9.8
"Southwark 016D","E01003972",4.1,7.5
"Southwark 016E","E01003973",4.1,7.6
"Southwark 016F","E01033881",6.6,9.2
"Southwark 017A","E01003923",4.0,9.4
"Southwark 017B","E01003969",2.8,8.3
"Southwark 017C","E01003991",3.7,8.8
"Southwark 017D","E01003993",5.4,7.9
"Southwark 017E","E01003997",3.7,9.5
"Southwark 018A","E01003983",5.9,7.4
"Southwark 018B","E01003988",6.1,8.5
"Southwark 018C","E01003989",4.3,7.6
"Southwark 018D","E01003990",5.8,10.7
"Southwark 018E","E01004007",5.3,7.7
"Southwark 019A","E01003912",10.9,8.1
"Southwark 019B","E01004011",4.9,9.9
"Southwark 019C","E01004012",6.1,8.8
"Southwark 019D","E01004013",3.5,7.1
"Southwark 019E","E01004014",5.3,6.8
"Southwark 020A","E01003911",7.0,11.2
"Southwark 020B","E01003916",5.8,8.8
"Southwark 020C","E01003917",2.5,6.3
"Southwark 020D","E01003918",3.8,6.1
"Southwark 020E","E01003925",5.1,5.5
"Southwark 021A","E01003919",3.6,8.2
"Southwark 021B","E01003920",5.3,6.4
"Southwark 021C","E01003921",3.1,5.9
"Southwark 021D","E01003922",4.1,7.4
"Southwark 021E","E01003924",3.8,5.2
"Southwark 021F","E01003926",7.2,8.5
"Southwark 022B","E01004008",5.3,9.5
"Southwark 022D","E01004010",5.4,8.1
"Southwark 022E","E01004067",4.1,9.1
"Southwark 022G","E01033882",3.6,11.1
"Southwark 022H","E01033883",4.4,10.5
"Southwark 023A","E01003984",2.7,5.8
"Southwark 023B","E01004003",3.5,6.7
"Southwark 023C","E01004004",3.3,6.1
"Southwark 023D","E01004005",3.3,5.5
"Southwark 023E","E01004006",2.9,7.4
"Southwark 024A","E01003913",4.1,7.8
"Southwark 024B","E01003914",4.5,9.6
"Southwark 024C","E01003915",3.4,6.2
"Southwark 024D","E01004050",3.2,5.4
"Southwark 024E","E01004052",3.2,4.7
"Southwark 025A","E01004061",2.0,5.7
"Southwark 025B","E01004062",3.4,7.8
"Southwark 025C","E01004063",2.4,6.5
"Southwark 025D","E01004065",2.1,4.3
"Southwark 025E","E01004066",5.1,4.9
"Southwark 026A","E01004000",2.9,6.7
"Southwark 026B","E01004001",4.8,5.8
"Southwark 026C","E01004019",2.6,6.6
"Southwark 026D","E01004064",3.2,7.5
"Southwark 026E","E01004068",4.7,7.4
"Southwark 027A","E01004045",5.5,4.8
"Southwark 027B","E01004047",4.6,7.8
"Southwark 027C","E01004048",2.4,5.5
"Southwark 027D","E01004049",4.5,5.8
"Southwark 027E","E01004051",2.2,6.3
"Southwark 028A","E01003953",1.8,3.0
"Southwark 028B","E01003955",1.8,3.2
"Southwark 028C","E01004015",2.1,13.1
"Southwark 028D","E01004021",2.3,3.7
"Southwark 028E","E01004046",2.9,3.3
"Southwark 029A","E01004002",2.8,4.4
"Southwark 029B","E01004016",2.8,4.1
"Southwark 029C","E01004017",3.3,3.2
"Southwark 029D","E01004020",5.4,5.8
"Southwark 030A","E01003952",2.7,2.7
"Southwark 030B","E01003954",1.5,3.3
"Southwark 030C","E01003956",2.0,3.0
"Southwark 030D","E01004071",3.7,4.8
"Southwark 030E","E01004072",5.0,4.8
"Southwark 031A","E01004069",4.2,3.4
"Southwark 031B","E01004070",4.3,3.6
"Southwark 031C","E01004073",3.5,4.1
"Southwark 031D","E01004074",4.8,4.3
"Southwark 031E","E01004075",4.4,3.6
"Southwark 032A","E01003949",3.0,3.2
"Southwark 032B","E01003950",6.7,6.1
"Southwark 032C","E01003957",3.2,3.7
"Southwark 032D","E01003958",2.8,6.2
"Southwark 032E","E01004018",2.9,2.9
"Southwark 033A","E01003945",2.9,3.0
"Southwark 033B","E01003946",4.6,4.1
"Southwark 033C","E01003947",5.2,5.8
"Southwark 033D","E01003948",2.8,2.8
"Southwark 033E","E01003951",10.1,3.6
"Southwark 034A","E01003930",12.2,18.1
"Southwark 034B","E01003932",3.3,10.3
"Southwark 034C","E01003933",5.1,16.8
"Southwark 034D","E01032583",3.8,14.8
"Southwark 034E","E01032584",5.9,13.4
"Southwark 035E","E01032637",0.8,11.5
"Southwark 035D","E01032638",0.7,7.7
"Southwark 035B","E01032640",1.3,7.1
"Southwark 035C","E01032834",0.6,6.1
"Southwark 035A","E01033884",2.5,13.1
"Southwark 036D","E01003976",3.4,8.1
"Southwark 036B","E01032646",1.6,10.0
"Southwark 036C","E01032803",2.0,8.4
"Southwark 036A","E01033885",3.3,13.1
"Sutton 001A","E01004125",4.9,5.8
"Sutton 001B","E01004183",5.2,6.4
"Sutton 001C","E01004184",6.0,4.1
"Sutton 001D","E01004185",4.7,5.6
"Sutton 001E","E01004189",4.8,5.2
"Sutton 002A","E01004123",5.9,5.8
"Sutton 002B","E01004124",5.3,5.3
"Sutton 002C","E01004126",6.6,6.5
"Sutton 002D","E01004128",5.4,6.5
"Sutton 002E","E01004129",4.8,6.3
"Sutton 003A","E01004130",4.0,5.6
"Sutton 003B","E01004131",5.0,6.1
"Sutton 003C","E01004134",4.8,4.5
"Sutton 003D","E01004135",4.8,5.9
"Sutton 003E","E01004136",5.2,4.5
"Sutton 004A","E01004164",3.3,4.9
"Sutton 004B","E01004166",2.2,3.7
"Sutton 004C","E01004169",3.2,3.8
"Sutton 004D","E01004186",3.0,4.2
"Sutton 004F","E01034153",4.2,4.9
"Sutton 004G","E01034154",2.3,3.4
"Sutton 005A","E01004127",5.4,6.2
"Sutton 005B","E01004163",4.1,4.9
"Sutton 005C","E01004165",3.8,5.6
"Sutton 005D","E01004167",8.0,6.2
"Sutton 005E","E01004187",5.0,5.7
"Sutton 006A","E01004117",3.8,5.1
"Sutton 006B","E01004121",3.2,4.7
"Sutton 006C","E01004192",4.4,4.3
"Sutton 006D","E01004193",4.6,4.6
"Sutton 006E","E01004195",3.9,3.8
"Sutton 007A","E01004144",4.0,4.9
"Sutton 007B","E01004145",4.7,5.5
"Sutton 007C","E01004146",4.7,4.6
"Sutton 007D","E01004147",4.2,5.5
"Sutton 008A","E01004116",3.8,4.4
"Sutton 008B","E01004122",3.7,4.5
"Sutton 008C","E01004190",3.4,5.3
"Sutton 008D","E01004191",5.0,4.2
"Sutton 008E","E01004194",3.5,5.8
"Sutton 008F","E01004196",3.3,4.3
"Sutton 009A","E01004115",5.2,4.2
"Sutton 009B","E01004118",5.3,5.6
"Sutton 009C","E01004119",4.5,4.2
"Sutton 009D","E01004132",6.3,6.0
"Sutton 009E","E01004133",5.4,4.9
"Sutton 010A","E01004171",3.6,4.4
"Sutton 010B","E01004172",3.4,4.7
"Sutton 010C","E01004173",5.4,5.6
"Sutton 010D","E01004175",4.1,4.2
"Sutton 010E","E01004176",3.2,4.3
"Sutton 011A","E01004076",4.8,5.1
"Sutton 011B","E01004077",4.4,4.5
"Sutton 011C","E01004078",4.2,4.0
"Sutton 011D","E01004079",4.8,6.9
"Sutton 011E","E01004080",4.2,5.2
"Sutton 011F","E01004081",4.6,4.9
"Sutton 011G","E01004082",6.1,6.6
"Sutton 012A","E01004137",2.1,5.1
"Sutton 012B","E01004140",3.9,4.6
"Sutton 012C","E01004141",4.8,5.8
"Sutton 012E","E01004149",3.1,4.2
"Sutton 012F","E01034155",3.4,5.5
"Sutton 012G","E01034156",2.6,4.0
"Sutton 013A","E01004101",3.7,4.4
"Sutton 013B","E01004103",3.2,4.2
"Sutton 013C","E01004138",3.9,4.3
"Sutton 013D","E01004139",3.5,3.9
"Sutton 013E","E01004168",4.7,4.3
"Sutton 014A","E01004143",3.8,4.4
"Sutton 014B","E01004148",4.3,4.7
"Sutton 014C","E01004159",3.5,4.1
"Sutton 014D","E01004160",3.8,3.8
"Sutton 014E","E01004161",4.6,4.7
"Sutton 015A","E01004097",3.1,4.2
"Sutton 015B","E01004098",3.7,4.2
"Sutton 015C","E01004099",3.0,3.8
"Sutton 015D","E01004100",4.8,3.5
"Sutton 015E","E01004102",3.4,3.7
"Sutton 016A","E01004110",4.5,5.6
"Sutton 016B","E01004111",4.8,5.0
"Sutton 016C","E01004112",3.8,3.8
"Sutton 016D","E01004120",3.8,4.4
"Sutton 016E","E01004157",4.1,4.9
"Sutton 017A","E01004087",4.3,6.1
"Sutton 017B","E01004170",2.8,4.8
"Sutton 017C","E01004174",4.5,4.8
"Sutton 017D","E01004178",3.5,4.1
"Sutton 017E","E01004179",4.3,4.3
"Sutton 018A","E01004152",2.1,3.5
"Sutton 018B","E01004155",3.2,3.5
"Sutton 018C","E01004156",2.8,2.4
"Sutton 018D","E01004158",3.1,4.1
"Sutton 018E","E01004162",3.3,5.2
"Sutton 019A","E01004083",7.0,7.0
"Sutton 019B","E01004086",4.0,4.1
"Sutton 019C","E01004088",6.4,6.6
"Sutton 019D","E01004089",6.0,5.7
"Sutton 019E","E01004182",5.3,5.0
"Sutton 020A","E01004104",5.5,3.2
"Sutton 020B","E01004107",4.4,4.5
"Sutton 020C","E01004177",3.0,3.0
"Sutton 020D","E01004180",4.9,5.8
"Sutton 020E","E01004181",3.6,4.2
"Sutton 021A","E01004090",4.5,5.4
"Sutton 021B","E01004096",2.7,3.8
"Sutton 021C","E01004150",2.7,3.8
"Sutton 021D","E01004151",2.5,3.3
"Sutton 021E","E01004153",2.4,2.4
"Sutton 022A","E01004091",4.5,5.1
"Sutton 022B","E01004092",3.7,4.8
"Sutton 022C","E01004105",3.8,3.5
"Sutton 022D","E01004106",5.2,4.3
"Sutton 022E","E01004154",3.4,3.8
"Sutton 024A","E01004084",4.8,5.0
"Sutton 024B","E01004085",3.9,5.8
"Sutton 024C","E01004108",5.0,5.0
"Sutton 024D","E01004109",6.2,4.7
"Sutton 025A","E01004093",2.4,4.5
"Sutton 025B","E01004094",3.8,3.9
"Sutton 025C","E01004095",2.9,4.0
"Sutton 025D","E01004114",4.8,4.9
"Sutton 025E","E01032623",4.2,5.1
"Tower Hamlets 001A","E01004222",4.7,8.6
"Tower Hamlets 001B","E01004223",4.0,5.3
"Tower Hamlets 001D","E01004226",4.8,9.7
"Tower Hamlets 001E","E01035657",0.8,4.8
"Tower Hamlets 001F","E01035658",2.9,3.9
"Tower Hamlets 001G","E01035659",4.9,9.3
"Tower Hamlets 002B","E01004198",4.0,9.3
"Tower Hamlets 002C","E01004199",5.1,9.3
"Tower Hamlets 002D","E01004201",4.3,7.4
"Tower Hamlets 002E","E01035660",3.6,9.7
"Tower Hamlets 002F","E01035661",6.1,8.8
"Tower Hamlets 003A","E01004228",3.0,13.1
"Tower Hamlets 003B","E01004230",4.8,8.9
"Tower Hamlets 003C","E01004232",3.0,8.9
"Tower Hamlets 003D","E01004233",5.4,7.1
"Tower Hamlets 003E","E01004234",2.3,5.7
"Tower Hamlets 004C","E01004229",4.1,10.4
"Tower Hamlets 004D","E01004231",4.7,10.5
"Tower Hamlets 004E","E01032764",3.4,9.6
"Tower Hamlets 004F","E01032765",3.4,8.3
"Tower Hamlets 004G","E01032784",4.7,7.9
"Tower Hamlets 004H","E01035662",0.4,4.7
"Tower Hamlets 004I","E01035663",3.3,7.5
"Tower Hamlets 005A","E01004200",6.0,14.5
"Tower Hamlets 005B","E01004202",4.4,6.1
"Tower Hamlets 005C","E01004203",4.5,12.4
"Tower Hamlets 005D","E01004204",5.0,8.2
"Tower Hamlets 006A","E01004311",4.0,8.8
"Tower Hamlets 006C","E01004315",3.1,10.6
"Tower Hamlets 006E","E01035664",3.8,7.7
"Tower Hamlets 007A","E01004259",2.6,7.6
"Tower Hamlets 007B","E01004260",5.8,11.2
"Tower Hamlets 007C","E01004263",6.4,11.1
"Tower Hamlets 007D","E01004266",4.1,8.1
"Tower Hamlets 008A","E01004235",4.5,8.0
"Tower Hamlets 008B","E01004236",7.4,9.8
"Tower Hamlets 008C","E01004237",3.4,7.6
"Tower Hamlets 008E","E01004239",5.2,9.0
"Tower Hamlets 008F","E01035665",2.4,10.4
"Tower Hamlets 008G","E01035666",5.4,12.4
"Tower Hamlets 008H","E01035667",5.6,8.0
"Tower Hamlets 009A","E01004312",4.9,8.5
"Tower Hamlets 009B","E01004313",5.3,11.2
"Tower Hamlets 009C","E01004316",3.8,10.2
"Tower Hamlets 009E","E01035668",3.6,12.6
"Tower Hamlets 009F","E01035669",4.1,14.6
"Tower Hamlets 010C","E01004264",6.7,11.0
"Tower Hamlets 010E","E01032785",3.7,4.8
"Tower Hamlets 010F","E01032786",4.6,5.9
"Tower Hamlets 010G","E01035670",28.0,17.8
