
"TS007B - Age by broad age bands"
"ONS Crown Copyright Reserved [from Nomis on 6 January 2026]"
"Date       :","2021"

"2021 super output area - lower layer","mnemonic","Aged 16 to 19 years","Aged 20 to 24 years"
"Bexley 009C","E01000359",4.0,5.3
"Bexley 009D","E01000421",3.2,6.0
"Bexley 009E","E01000450",5.8,5.7
"Bexley 009F","E01000451",4.3,5.9
"Bexley 009G","E01000452",5.2,5.8
"Bexley 010A","E01000367",5.7,4.6
"Bexley 010B","E01000368",5.2,5.1
"Bexley 010C","E01000372",4.5,6.4
"Bexley 010D","E01000380",2.7,4.6
"Bexley 010E","E01000435",5.1,6.4
"Bexley 011A","E01000353",3.3,4.5
"Bexley 011B","E01000354",5.0,6.0
"Bexley 011C","E01000355",3.3,4.9
"Bexley 011D","E01000358",4.1,4.6
"Bexley 011E","E01000436",5.1,4.9
"Bexley 013A","E01000401",5.2,5.1
"Bexley 013B","E01000453",5.7,5.3
"Bexley 013C","E01000454",4.7,5.4
"Bexley 013D","E01000455",5.4,5.9
"Bexley 013E","E01000456",4.5,5.4
"Bexley 014A","E01000325",5.0,6.4
"Bexley 014B","E01000326",2.5,4.6
"Bexley 014C","E01000369",4.4,4.2
"Bexley 014D","E01000370",4.2,3.8
"Bexley 014E","E01000371",3.6,5.5
"Bexley 015A","E01000360",3.8,5.0
"Bexley 015B","E01000362",3.2,5.1
"Bexley 015C","E01000365",3.7,4.8
"Bexley 015D","E01000366",3.7,4.7
"Bexley 015E","E01000394",3.3,4.9
"Bexley 016A","E01000388",3.6,3.8
"Bexley 016B","E01000392",3.8,5.5
"Bexley 016C","E01000409",4.0,4.1
"Bexley 016D","E01000411",5.8,5.2
"Bexley 016E","E01000414",4.7,5.1
"Bexley 016F","E01000415",4.0,5.4
"Bexley 017A","E01000327",4.0,5.0
"Bexley 017B","E01000328",4.2,5.0
"Bexley 017C","E01000329",4.2,5.1
"Bexley 017D","E01000330",3.0,4.5
"Bexley 017E","E01000331",5.0,5.1
"Bexley 018A","E01000340",3.8,5.9
"Bexley 018B","E01000395",4.8,4.8
"Bexley 018C","E01000396",2.9,5.4
"Bexley 018D","E01000410",4.2,5.5
"Bexley 018E","E01000412",4.0,5.9
"Bexley 018F","E01000413",5.0,5.9
"Bexley 019A","E01000374",7.3,5.6
"Bexley 019B","E01000375",4.8,5.1
"Bexley 019C","E01000376",5.1,6.1
"Bexley 019D","E01000377",3.7,4.3
"Bexley 019F","E01000379",4.7,6.5
"Bexley 019G","E01033791",3.8,5.7
"Bexley 019H","E01033792",4.1,4.2
"Bexley 020A","E01000348",4.5,5.5
"Bexley 020B","E01000349",4.2,5.3
"Bexley 020C","E01000361",3.9,5.1
"Bexley 020D","E01000363",3.8,5.6
"Bexley 020E","E01000389",3.8,3.9
"Bexley 020F","E01000390",4.0,5.5
"Bexley 020G","E01000393",3.4,3.9
"Bexley 021A","E01000346",4.5,5.3
"Bexley 021B","E01000347",5.0,5.3
"Bexley 021C","E01000350",5.3,7.4
"Bexley 021D","E01000352",4.4,5.9
"Bexley 021E","E01000391",4.6,5.2
"Bexley 022A","E01000341",4.3,6.0
"Bexley 022B","E01000342",4.3,4.8
"Bexley 022C","E01000343",5.0,4.6
"Bexley 022D","E01000345",4.1,5.7
"Bexley 022E","E01000460",3.1,3.6
"Bexley 023A","E01000364",4.0,4.3
"Bexley 023B","E01000444",5.4,3.3
"Bexley 023C","E01000447",3.7,4.6
"Bexley 023D","E01000448",4.2,6.8
"Bexley 023E","E01000449",3.9,4.2
"Bexley 024A","E01000351",3.3,5.8
"Bexley 024B","E01000443",3.8,6.4
"Bexley 024C","E01000445",4.7,4.0
"Bexley 024D","E01000446",3.3,5.9
"Bexley 024E","E01000461",4.5,6.7
"Bexley 025A","E01000339",5.5,6.1
"Bexley 025B","E01000344",5.0,6.9
"Bexley 025C","E01000423",4.0,5.6
"Bexley 025D","E01000425",4.1,3.9
"Bexley 025E","E01000463",4.4,5.6
"Bexley 026A","E01000424",4.9,5.7
"Bexley 026B","E01000426",3.6,5.0
"Bexley 026C","E01000427",3.5,6.4
"Bexley 026D","E01000457",5.8,9.4
"Bexley 026E","E01000462",6.8,10.7
"Bexley 027A","E01000382",4.8,5.5
"Bexley 027B","E01000384",4.0,5.8
"Bexley 027C","E01000387",4.1,5.1
"Bexley 027D","E01000428",3.6,5.8
"Bexley 027E","E01000458",4.4,5.3
"Bexley 027F","E01000459",4.4,6.7
"Bexley 028A","E01000381",4.6,5.3
"Bexley 028B","E01000383",3.2,5.7
"Bexley 028C","E01000385",6.1,5.6
"Bexley 028D","E01000386",5.2,7.0
"Bexley 029A","E01000398",4.8,5.3
"Bexley 029B","E01000399",4.3,4.7
"Bexley 029C","E01000400",4.5,5.1
"Bexley 029D","E01032566",4.6,3.5
"Brent 001A","E01000587",4.3,7.1
"Brent 001B","E01000589",4.9,6.9
"Brent 001C","E01000590",4.6,6.9
"Brent 001D","E01000592",3.0,6.4
"Brent 001E","E01000593",4.7,8.3
"Brent 001F","E01000594",3.4,7.5
"Brent 002A","E01000513",5.4,7.6
"Brent 002B","E01000514",6.2,7.5
"Brent 002C","E01000516",5.0,7.1
"Brent 002D","E01000520",4.4,5.7
"Brent 002F","E01033929",6.1,5.7
"Brent 002G","E01033930",4.9,7.0
"Brent 003A","E01000515",5.5,6.7
"Brent 003B","E01000517",3.8,6.5
"Brent 003E","E01000543",3.7,7.4
"Brent 003F","E01000591",4.7,7.2
"Brent 003G","E01033463",3.5,6.6
"Brent 004A","E01000536",3.9,4.6
"Brent 004B","E01000538",3.9,4.6
"Brent 004C","E01000539",3.6,5.6
"Brent 004D","E01000540",2.7,5.8
"Brent 004E","E01000541",3.6,6.2
"Brent 005A","E01000518",4.3,7.3
"Brent 005B","E01000519",5.6,6.8
"Brent 005C","E01000623",4.5,5.7
"Brent 005D","E01000624",3.6,7.0
"Brent 005E","E01000629",5.1,6.6
"Brent 006A","E01000480",5.2,6.7
"Brent 006B","E01000484",6.6,8.0
"Brent 006C","E01000485",4.1,5.7
"Brent 006D","E01000486",5.8,6.5
"Brent 006E","E01000487",4.8,7.0
"Brent 007A","E01000572",3.8,5.8
"Brent 007B","E01000573",4.8,8.1
"Brent 007C","E01000574",4.5,10.6
"Brent 007D","E01000575",3.5,6.3
"Brent 007E","E01000577",4.9,7.5
"Brent 008A","E01000562",4.7,4.9
"Brent 008B","E01000563",5.8,6.3
"Brent 008C","E01000566",4.9,7.0
"Brent 008D","E01000568",9.0,14.4
"Brent 008E","E01000569",4.7,7.7
"Brent 009A","E01000479",4.5,6.8
"Brent 009B","E01000481",5.1,6.2
"Brent 009D","E01000483",6.5,6.8
"Brent 009E","E01000625",6.3,7.4
"Brent 009F","E01033931",5.1,5.9
"Brent 009G","E01033932",5.7,6.9
"Brent 010B","E01000498",5.7,7.2
"Brent 010D","E01000622",3.3,5.1
"Brent 010E","E01000626",4.5,6.7
"Brent 010G","E01033933",8.2,8.2
"Brent 010H","E01033934",7.8,8.6
