LSOA21CD,LSOA21NM,borough,mean_AI,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_2023,Shape_Length,Shape_Area
E01004086,Sutton 019B,Sutton,6.051662613039894,6.102476349501116,3.901543329293118,10.875992067933169,2,5806.303461661462279,558706.223213964607567
E01004087,Sutton 017A,Sutton,4.523717204338833,4.879952464113289,0.000000000000000,6.760883744142768,1b,3998.812561878387896,358467.982213225099258
E01004088,Sutton 019C,Sutton,3.467739410610948,3.946646922316615,0.000000000000000,6.251282715065519,1b,4220.022691618706631,468965.406885710544884
E01004089,Sutton 019D,Sutton,4.814092854917974,4.888104764591010,4.383629372301250,5.264483033734461,1b,1688.181271683816021,112154.764300936934887
E01004090,Sutton 021A,Sutton,8.719539651594777,8.842940926422111,4.850858560693960,10.189403863915867,2,2733.591918629661905,189645.110449752653949
E01004091,Sutton 022A,Sutton,3.742184781731162,2.876505190334880,0.000000000000000,8.449066919234349,1b,4134.938635872623308,374194.909976179304067
E01004092,Sutton 022B,Sutton,4.056907795048323,3.948019701575469,0.000000000000000,10.509508606236700,1b,4901.371734646458208,648672.317058776388876
E01004093,Sutton 025A,Sutton,3.232334282163388,3.134329214648167,0.000000000000000,9.212724427522232,1b,4408.288674654928400,403028.287897669244558
E01004094,Sutton 025B,Sutton,7.315891181906594,7.693789165944279,2.541228381530386,11.155854334475301,2,3844.364218232065468,278077.163081704115029
E01004095,Sutton 025C,Sutton,2.850377425515480,2.489900538765756,1.201853180757635,5.385789431657673,1b,4530.850972981580526,290025.504669470246881
E01004096,Sutton 021B,Sutton,6.497596766990003,5.788421191704410,3.693767564296139,12.675894601518715,2,2742.627549588466991,153560.328706772445003
E01004097,Sutton 015A,Sutton,7.558993386242397,7.183073839826562,3.148686817245740,20.892331555023517,2,4107.249905246217168,272063.521104772982653
E01004098,Sutton 015B,Sutton,7.410052381769428,7.552596069068954,4.627842639643754,12.639875019879751,2,2578.099225653779285,223454.710047576227225
E01004099,Sutton 015C,Sutton,9.767943237670302,10.298150069168685,1.565057428727270,15.255250685286445,2,3752.068337428222549,388566.367243702232372
E01004100,Sutton 015D,Sutton,7.886548923522905,7.640507652394555,4.682670515846933,11.598828844669359,2,3691.630297447304656,351142.927297226560768
E01004101,Sutton 013A,Sutton,5.597485709524816,5.194945861001441,3.834011800387017,9.550900640095016,2,3385.415291396488556,224152.174474981584353
E01004102,Sutton 015E,Sutton,9.035428210775530,10.578008346896567,2.304693685442458,13.383786646188346,2,3508.447986402439255,391588.748255405691452
E01004103,Sutton 013B,Sutton,5.952924852800732,6.136707445949607,4.353391146071277,7.738150070189362,2,3227.205987480783278,175630.712944300408708
